name             ,type        ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example ,description
address          ,address     ,           ,       ,      ,        ,          ,        ,      ,         ,    ,4    ,        ,
blockNumber      ,blknum      ,           ,       ,      ,        ,          ,        ,      ,         ,    ,1    ,        ,
logIndex         ,blknum      ,           ,       ,      ,        ,          ,        ,      ,         ,    ,3    ,        ,
topics           ,CTopicArray ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
data             ,string      ,           ,       ,      ,        ,          ,        ,      ,         ,    ,9     ,        ,
articulatedLog   ,CFunction   ,           ,       ,      ,        ,          ,        ,      ,         ,    ,    ,        ,
compressedLog    ,string      ,           ,       ,      ,        ,          ,        ,      ,         ,    ,11   ,        ,
transactionIndex ,blknum      ,           ,       ,      ,        ,          ,        ,      ,         ,    ,2    ,        ,
topic0           ,topic       ,           ,       ,      ,true    ,          ,true    ,      ,true     ,    ,5    ,        ,
topic1           ,topic       ,           ,       ,      ,true    ,          ,true    ,      ,true     ,    ,6    ,        ,
topic2           ,topic       ,           ,       ,      ,true    ,          ,true    ,      ,true     ,    ,7    ,        ,
topic3           ,topic       ,           ,       ,      ,true    ,          ,true    ,      ,true     ,    ,8    ,        ,
type             ,string      ,           ,       ,      ,true    ,          ,true    ,      ,true     ,    ,10   ,        ,
