name         ,type          ,strDefault ,object ,array ,nowrite ,omitempty ,minimal ,extra ,noaddfld ,doc ,disp ,example ,description
key          ,uint64        ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
date         ,string        ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
last_block   ,blknum        ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
last_ts      ,timestamp     ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
type         ,string        ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
grant_id     ,uint64        ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
address      ,address       ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
name         ,string        ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
slug         ,string        ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
tx_cnt       ,uint64        ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
log_cnt      ,uint64        ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
core         ,uint64        ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
donation_cnt ,uint64        ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
matched      ,double        ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
claimed      ,double        ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
balances     ,CBalanceArray ,           ,       ,      ,        ,          ,        ,      ,         ,    ,     ,        ,
